title,description,price,salePercentage,recentReviews,allReviews,price_clean,sale_clean,effective_price,recent_reviews_score,price_bucket,discount_bucket
HELLCARD,"Hellcard is a unique cooperative deck builder rogue-like game. Descend into the paper dungeons on your own, recruit computer-controlled companions or join other players' lobbies in fast-paced tactical card battles against the armies of darkness and the Archdemon himself!",$15.79,-21%,Very Positive,Very Positive,15.79,21.0,12.4741,4.0,$15-30,1-25%
Moonbreaker,"Moonbreaker is a turn-based strategy, tactical skirmish game. The game is designed to be a true digital miniatures experience, set in an expansive sci-fi universe crafted by Brandon Sanderson. Direct Captain and Crew in gripping, ever-changing competition and adventure.",$22.49,-25%,Very Positive,Very Positive,22.49,25.0,16.8675,4.0,$15-30,1-25%
BlazBlue Entropy Effect,"Artistic and Magnificent Combat Action, incredibly satisfying combos! Numerous characters, hundreds of moves! This unique action roguelite game will bring you an experience that exceeds expectations.",$17.15,-22%,Mostly Positive,Mostly Positive,17.15,22.0,13.376999999999999,3.0,$15-30,1-25%
Poppy Playtime - Chapter 3,,$9.89,-34%,Very Positive,Very Positive,9.89,34.0,6.527399999999999,4.0,$5-15,25-50%
Ready or Not,"Ready or Not is an intense, tactical, first-person shooter that depicts a modern-day world in which SWAT police units are called to defuse hostile and confronting situations.",$37.49,-25%,Mostly Positive,Mostly Positive,37.49,25.0,28.1175,3.0,$30-60,1-25%
FINAL FANTASY VII REMAKE INTERGRADE,"Cloud Strife, an ex-SOLDIER operative, descends on the mako-powered city of Midgar. The world of the timeless classic FINAL FANTASY VII is reborn, using cutting-edge graphics technology, a new battle system and an additional adventure featuring Yuffie Kisaragi.",$34.99,-50%,Very Positive,Very Positive,34.99,50.0,17.495,4.0,$30-60,25-50%
Destiny 2,"Destiny 2 is an action MMO with a single evolving world that you and your friends can join anytime, anywhere, absolutely free.",$14.99,-75%,Mostly Positive,Mostly Positive,14.99,75.0,3.7475,3.0,$5-15,50-75%
Hogwarts Legacy,"Hogwarts Legacy is an immersive, open-world action RPG. Now you can take control of the action and be at the center of your own adventure in the wizarding world.",$35.99,-40%,Very Positive,Very Positive,35.99,40.0,21.594,4.0,$30-60,25-50%
Dead by Daylight,"Dead by Daylight is a multiplayer (4vs1) horror game where one player takes on the role of the savage Killer, and the other four players play as Survivors, trying to escape the Killer and avoid being caught and killed.",$7.99,-60%,Very Positive,Very Positive,7.99,60.0,3.196,4.0,$5-15,50-75%
Hell Let Loose,"Join the ever expanding experience of Hell Let Loose - a hardcore World War Two first person shooter with epic battles of 100 players with infantry, tanks, artillery, a dynamically shifting front line and a unique resource based RTS-inspired meta-game.",$42.24,-35%,Very Positive,Very Positive,42.24,35.0,27.456000000000003,4.0,$30-60,25-50%
Halo Infinite,"From one of gaming's most iconic sagas, Halo is bigger than ever. Featuring an expansive open-world campaign and a dynamic free to play multiplayer experience.",$23.99,-60%,Mostly Positive,Mostly Positive,23.99,60.0,9.596,3.0,$15-30,50-75%
Ready or Not,"Ready or Not is an intense, tactical, first-person shooter that depicts a modern-day world in which SWAT police units are called to defuse hostile and confronting situations.",$37.49,-25%,Mostly Positive,Mostly Positive,37.49,25.0,28.1175,3.0,$30-60,1-25%
FINAL FANTASY VII REMAKE INTERGRADE,"Cloud Strife, an ex-SOLDIER operative, descends on the mako-powered city of Midgar. The world of the timeless classic FINAL FANTASY VII is reborn, using cutting-edge graphics technology, a new battle system and an additional adventure featuring Yuffie Kisaragi.",$34.99,-50%,Very Positive,Very Positive,34.99,50.0,17.495,4.0,$30-60,25-50%
God of War,"His vengeance against the Gods of Olympus years behind him, Kratos now lives as a man in the realm of Norse Gods and monsters. It is in this harsh, unforgiving world that he must fight to survive… and teach his son to do the same.",$24.99,-50%,Overwhelmingly Positive,Overwhelmingly Positive,24.99,50.0,12.495,5.0,$15-30,25-50%
Hogwarts Legacy,"Hogwarts Legacy is an immersive, open-world action RPG. Now you can take control of the action and be at the center of your own adventure in the wizarding world.",$35.99,-40%,Very Positive,Very Positive,35.99,40.0,21.594,4.0,$30-60,25-50%
Marvel’s Spider-Man Remastered,"In Marvel’s Spider-Man Remastered, the worlds of Peter Parker and Spider-Man collide in an original action-packed story. Play as an experienced Peter Parker, fighting big crime and iconic villains in Marvel’s New York. Web-swing through vibrant neighborhoods and defeat villains with epic takedowns.",$35.99,-40%,Very Positive,Very Positive,35.99,40.0,21.594,4.0,$30-60,25-50%
Marvel’s Spider-Man: Miles Morales,"After the events of Marvel’s Spider-Man Remastered, teenage Miles Morales is adjusting to his new home while following in the footsteps of his mentor, Peter Parker, as a new Spider-Man. When a fierce power struggle threatens to destroy his home, Miles must take up the mantle of Spider-Man and own it",$29.99,-40%,Very Positive,Very Positive,29.99,40.0,17.994,4.0,$15-30,25-50%
Days Gone,"Ride and fight into a deadly, post pandemic America. Play as Deacon St. John, a drifter and bounty hunter who rides the broken road, fighting to survive while searching for a reason to live in this open-world action-adventure game.",$12.49,-75%,Very Positive,Very Positive,12.49,75.0,3.1225,4.0,$5-15,50-75%
Ratchet & Clank: Rift Apart,Blast your way through an interdimensional adventure with Ratchet and Clank – now on PC! Help them take on an evil emperor from another reality as you jump between action-packed worlds and beyond at hyper-speed!,$40.19,-33%,Very Positive,Very Positive,40.19,33.0,26.927299999999995,4.0,$30-60,25-50%
Ori and the Will of the Wisps,"Play the critically acclaimed masterpiece. Embark on a new journey in a vast, exotic world where you’ll encounter towering enemies and challenging puzzles on your quest to unravel Ori’s destiny.",$9.89,-67%,Overwhelmingly Positive,Overwhelmingly Positive,9.89,67.0,3.2636999999999996,5.0,$5-15,50-75%
DRAGON QUEST® XI S: Echoes of an Elusive Age™ - Definitive Edition,"The Definitive Edition includes the critically acclaimed DRAGON QUEST XI, plus additional scenarios, orchestral soundtrack, 2D mode and more! Whether you are a longtime fan or a new adventurer, this is the ultimate DQXI experience.",$23.99,-40%,Very Positive,Very Positive,23.99,40.0,14.393999999999998,4.0,$15-30,25-50%
CRISIS CORE –FINAL FANTASY VII– REUNION,"CRISIS CORE -FINAL FANTASY VII- REUNION is a remaster of CRISIS CORE featuring updated graphics, combat systems and soundtrack. Follow the tale of SOLDIER operative Zack Fair, as he discovers the secrets of Shinra's dark experiments.",$29.99,-40%,Very Positive,Very Positive,29.99,40.0,17.994,4.0,$15-30,25-50%
UNCHARTED™: Legacy of Thieves Collection,Play as Nathan Drake and Chloe Frazer in their own standalone adventures as they confront their pasts and forge their own legacies. This game includes the critically acclaimed single-player stories from both UNCHARTED 4: A Thief’s End and UNCHARTED: The Lost Legacy.,$24.99,-50%,Very Positive,Very Positive,24.99,50.0,12.495,4.0,$15-30,25-50%
Thronefall,A minimalist game about building and defending your little kingdom.,$5.24,-25%,Overwhelmingly Positive,Overwhelmingly Positive,5.24,25.0,3.93,5.0,$5-15,1-25%
Overcooked! 2,Overcooked returns with a brand-new helping of chaotic cooking action! Journey back to the Onion Kingdom and assemble your team of chefs in classic couch co-op or online play for up to four players. Hold onto your aprons… it’s time to save the world again!,$6.24,-75%,Very Positive,Very Positive,6.24,75.0,1.56,4.0,$5-15,50-75%
Dead Space,"The sci-fi survival-horror classic returns, completely rebuilt to offer an even more immersive experience — including visual, audio, and gameplay improvements — while staying faithful to the original game’s thrilling vision.",$23.99,-60%,Very Positive,Very Positive,23.99,60.0,9.596,4.0,$15-30,50-75%
CARRION,"CARRION is a reverse horror game in which you assume the role of an amorphous creature of unknown origins, stalking and consuming those that imprisoned you.",$5.99,-70%,Very Positive,Very Positive,5.99,70.0,1.7970000000000004,4.0,$5-15,50-75%
FINAL FANTASY XII THE ZODIAC AGE,"FINAL FANTASY XII THE ZODIAC AGE - This revered classic returns, now fully remastered for the first time for PC, featuring all new and enhanced gameplay.",$19.99,-60%,Very Positive,Very Positive,19.99,60.0,7.9959999999999996,4.0,$15-30,50-75%
Atomic Heart,"In a mad and sublime utopian world, take part in explosive encounters. Adapt your fighting style to each opponent, use your environment and upgrade your equipment to fulfill your mission. If you want to reach the truth, you'll have to pay in blood.",$29.99,-50%,Mostly Positive,Mostly Positive,29.99,50.0,14.995,3.0,$15-30,25-50%
Halo Infinite (Campaign),,$23.99,-60%,Mixed,Mixed,23.99,60.0,9.596,2.0,$15-30,50-75%
Returnal™,BREAK THE CYCLE Fight to survive as this award-winning third-person shooter brings Selene’s story to PC. Take on roguelike challenges. Engage enemies in bullet hell-fuelled clashes. Share your journey through Returnal™ with another player.,$40.19,-33%,Very Positive,Very Positive,40.19,33.0,26.927299999999995,4.0,$30-60,25-50%
FINAL FANTASY X/X-2 HD Remaster,"FINAL FANTASY X/X-2 HD Remaster celebrates two of the most cherished and beloved entries to the world-renowned franchise, completely remastered in gorgeous High Definition & now available on PC / Windows!",$11.99,-60%,Very Positive,Very Positive,11.99,60.0,4.796,4.0,$5-15,50-75%
The Elder Scrolls V: Skyrim Special Edition,"Winner of more than 200 Game of the Year Awards, The Elder Scrolls V: Skyrim Special Edition brings the epic fantasy to life in stunning detail. The Special Edition includes the critically acclaimed game and add-ons with all-new features.",$9.99,-75%,Very Positive,Very Positive,9.99,75.0,2.4975,4.0,$5-15,50-75%
STAR WARS™ Empire at War - Gold Pack,"Command or corrupt an entire galaxy in the definitive Star Wars strategy collection. It is a time of galactic civil war. Will you take up the reins of the Rebellion, assume control of the Empire, or rule the Star Wars Underworld?",$6.99,-65%,Overwhelmingly Positive,Overwhelmingly Positive,6.99,65.0,2.4465,5.0,$5-15,50-75%
FINAL FANTASY XV WINDOWS EDITION,"Take the journey, now in ultimate quality. Boasting a wealth of bonus content and supporting ultra high-resolution graphical options and HDR 10, you can now enjoy the beautiful and carefully-crafted experience of FINAL FANTASY XV like never before.",$13.99,-60%,Very Positive,Very Positive,13.99,60.0,5.596,4.0,$5-15,50-75%
Dead by Daylight,"Dead by Daylight is a multiplayer (4vs1) horror game where one player takes on the role of the savage Killer, and the other four players play as Survivors, trying to escape the Killer and avoid being caught and killed.",$7.99,-60%,Very Positive,Very Positive,7.99,60.0,3.196,4.0,$5-15,50-75%
"Star Wars: Battlefront 2 (Classic, 2005)","Join the rise of Darth Vader’s elite 501st Legion of Stormtroopers as you fight through an all new story-based saga where every action you take impacts the battlefront and, ultimately, the fate of the Star Wars galaxy.",$3.49,-65%,Very Positive,Very Positive,3.49,65.0,1.2215,4.0,<$5,50-75%
Destiny 2: Lightfall + Annual Pass,,$33.00,-67%,Mostly Negative,Mostly Negative,33.0,67.0,10.889999999999999,1.0,$30-60,50-75%
STRANGER OF PARADISE FINAL FANTASY ORIGIN,"Developed in cooperation between Square Enix and Team NINJA (Koei Tecmo Games), STRANGER OF PARADISE FINAL FANTASY ORIGIN is a hard-core action RPG that takes the FINAL FANTASY series in a new direction. Experience the boldest and most merciless battles in FINAL FANTASY history.",$23.99,-40%,Very Positive,Very Positive,23.99,40.0,14.393999999999998,4.0,$15-30,25-50%
Grounded,"The world is a vast, beautiful and dangerous place – especially when you have been shrunk to the size of an ant. Can you thrive alongside the hordes of giant insects, fighting to survive the perils of the backyard?",$26.79,-33%,Very Positive,Very Positive,26.79,33.0,17.949299999999997,4.0,$15-30,25-50%
"Flashing Lights - Police, Firefighting, Emergency Services (EMS) Simulator","Play solo or in up to 10-player multiplayer co-op! Flashing Lights is an open world police, firefighting and EMS simulator game with plenty of opportunity for role-play or more relaxed fun with friends. Become the law or save lives! Discover leagues of player-created mods!",$8.49,-66%,Very Positive,Very Positive,8.49,66.0,2.8865999999999996,4.0,$5-15,50-75%
LEGO® Star Wars™ - The Complete Saga,"Kick Some Brick in I through VI! Play through all six Star Wars movies in one videogame! Adding new characters, new levels, new features and for the first time ever, the chance to build and battle your way through a fun Star Wars galaxy on your PC!",$4.99,-75%,Overwhelmingly Positive,Overwhelmingly Positive,4.99,75.0,1.2475,5.0,<$5,50-75%
Bendy and the Dark Revival,"Bendy and the Dark Revival® is a first-person survival horror game set in the creepiest cartoon studio to ever exist. Discover the truth. Escape the studio. Above all, fear the Ink Demon…and survive.",$5.99,-80%,Very Positive,Very Positive,5.99,80.0,1.1979999999999997,4.0,$5-15,75-100%+
STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,"A game that will show gamers the deepest, darkest side of the Force in a story that puts them on a collision course with Luke Skywalker himself.",$6.99,-65%,Very Positive,Very Positive,6.99,65.0,2.4465,4.0,$5-15,50-75%
Thymesia,"Thymesia is a gruelling action-RPG with fast-paced combat and an intricate plague weapon system. In a kingdom where death spreads, play as a mysterious character known by the code name ""Corvus"". Prey upon your enemies, wield the power of disease and find the truth in your own memories.",$14.99,-40%,Very Positive,Very Positive,14.99,40.0,8.994,4.0,$5-15,25-50%
Last Train Home,"The Great War is over - the fight continues. Command a legion of soldiers, desperately trying to make their way home amidst the chaos of civil war. Lead them through the unforgiving wilderness onboard an armored train. Manage your crew and resources and try to survive.",$26.39,-34%,Very Positive,Very Positive,26.39,34.0,17.417399999999997,4.0,$15-30,25-50%
Fallout 76,"Bethesda Game Studios welcome you to Fallout 76. Twenty-five years after the bombs fall, you and your fellow Vault Dwellers emerge into post-nuclear America. Explore a vast wasteland in this open-world multiplayer addition to the Fallout story.",$9.99,-75%,Mostly Positive,Mostly Positive,9.99,75.0,2.4975,3.0,$5-15,50-75%
